"","run","subid","sequence","country","age","gender","englishNative","ethnicity","education","religionChild","religionNow","job","comments","grownup","kid","baby","dog","bear","bug","robot","computer","car","stapler","country_selfrep"
"1","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"1,0,2,1","2,1,2,1","2,2,-1,2","2,0,-1,2","2,-1,0,2","-2,0,2,-2,2","-2,0,-2,0,0,-2","0,0,-1,-2","-2,0,0,-2,-2","-2,0,0,-2,0,-2","usa"
"2","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","2,0,2,1","2,0,1,0,2","0,2,0,1","1,0,0,2,0","0,2,2,0","-1,2,2,-1,2,-1","-2,-2,0,2,-1","0,-2,-2,2,-2","0,-2,-2,-2,-2","-2,0,-2,-2,-2","USA"
"3","us_run_01","us_run_01_3","sequence2","us",33,"male","yes_only","white","college_some","none","none","maintenance supervisor",NA,"2,0,2,2","2,2,2,2","2,2,-2,2","2,0,2,-2","2,-2,0,2","-2,0,2,2,-2","-2,1,1,-2,-2,0","-1,0,-2,-2","0,-2,-1,-2,-2","0,-2,0,-2,-2,0","United States"
"4","us_run_01","us_run_01_4","sequence4","us",34,"male","yes_only","white","college_assocDegree","christianity_protestant","none","Pipeliner",NA,"2,0,2,2","2,1,2,0,2","2,2,0,2","2,-1,0,2,0","-2,2,2,0","-2,1,-2,2,2,-2","-2,-2,0,-2,0","0,-1,-2,0,-2","0,-2,-2,-2,0","-2,-2,0,-2,0","USA"
"5","us_run_01","us_run_01_5","sequence1","us",68,"male","yes_only","white","college_bachDegree","christianity_protestant","christianity_protestant","Accountant",NA,"2,2,2,2","2,2,-2,2,2","-2,2,2,1,2","2,-2,2,-1,2","2,2,-2,0","-2,2,-2,-2","0,-2,-2,0,-2","-2,-2,0","-2,-2,-2,0","0,-2,-2,0,0","USA"
"6","us_run_01","us_run_01_7","sequence3","us",61,"male","yes_only","white","college_assocDegree","other","other","Computer Operator","No problems, fun survey","2,2,2,2,2","2,2,0,2","2,-2,2,-2","1,2,0,0","-1,-2,2,2,2","2,-2,2,0,2","0,-2,-2,-2","-2,0,-2,-2,0,-2","0,-2,-2,0,-2","-2,0,-2,-2","USA"
"7","us_run_01","us_run_01_8","sequence2","us",23,"female","yes_only","white","college_some","none","none","customer service",NA,"0,2,2,1","2,2,1,1","2,2,2,-1","2,0,-1,2","0,2,0,2","-2,-2,0,-1,2","-2,0,0,-2,0,-2","0,-2,0,-2","0,-2,0,0,-2","0,-2,-2,0,0,-2","USA"
"8","us_run_01","us_run_01_9","sequence3","us",31,"female","yes_only","white","hs_diploma","none","none","Retail clerk",NA,"2,-2,0,2,2","2,0,2,2","2,0,0,2","2,2,-2,0","-2,-2,0,-2,2","2,2,2,2,0","-2,2,2,-2","2,-2,0,-2,-2,0","-2,-2,-2,-2,0","-2,-2,-2,-2","USA"
"9","us_run_01","us_run_01_11","sequence2","us",29,"female","yes_only","nativeAmerican","college_some","none","none","Executive","No","2,2,2,0","-2,2,0,0","2,2,0,2","2,-2,2,0","-2,2,2,2","-2,-2,2,0,2","-2,2,-2,2,-2,2","2,-2,2,-2","0,-2,-2,-2,-2","0,-2,-2,-2,-2,-2","US"
"10","us_run_01","us_run_01_12","sequence2","us",26,"male","yes_only","white","college_some","christianity_catholic","none","Self Employed",NA,"2,2,2,0","2,2,2,0","2,2,2,0","2,0,0,2","-2,2,0,2","-2,2,-2,2,-2","-2,0,-2,0,0,-2","0,0,-2,-2","-2,0,-2,0,-2","-2,0,0,-2,0,-2","USA"
