"","run","subid","sequence","country","age","gender","englishNative","ethnicity","education","religionChild","religionNow","job","comments","phase","predicate","trialNum","leftCharacter","rightCharacter","response","rt","country_selfrep","responseNum"
"1","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"practice","colder",1,"icecream","pizza","much more left",8502,"usa",-2
"2","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"practice","sweeter",2,"grapes","strawberries","slightly more right",8420,"usa",1
"3","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","thinking",3,"kid","robot","much more left",6750,"usa",-2
"4","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","thinking",4,"baby","bug","much more left",9822,"usa",-2
"5","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","thinking",5,"stapler","bear","much more right",7142,"usa",2
"6","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","thinking",6,"car","dog","much more right",6789,"usa",2
"7","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","thinking",7,"bear","grownup","slightly more right",3334,"usa",1
"8","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","thinking",8,"robot","computer","both equally",3176,"usa",0
"9","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","thinking",9,"stapler","car","both equally",2110,"usa",0
"10","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",10,"stapler","computer","both equally",5260,"usa",0
"11","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",11,"robot","baby","much more right",2857,"usa",2
"12","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",12,"dog","bear","both equally",1560,"usa",0
"13","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",13,"grownup","bug","both equally",7790,"usa",0
"14","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",14,"computer","kid","slightly more right",1401,"usa",1
"15","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",15,"car","robot","both equally",2300,"usa",0
"16","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",16,"grownup","stapler","much more left",2320,"usa",-2
"17","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","hunger",17,"car","bug","much more right",1713,"usa",2
"18","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",18,"kid","bug","much more left",11117,"usa",-2
"19","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",19,"stapler","robot","both equally",2416,"usa",0
"20","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",20,"computer","bear","much more right",2559,"usa",2
"21","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",21,"kid","baby","slightly more left",5360,"usa",-1
"22","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",22,"grownup","dog","slightly more left",2598,"usa",-1
"23","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",23,"baby","car","much more left",1544,"usa",-2
"24","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",24,"robot","bug","much more right",4403,"usa",2
"25","us_run_01","us_run_01_1","sequence2","us",47,"male","yes_only","white","college_some","other, none","none","contractor/laborer",NA,"test","feelings",25,"stapler","dog","much more right",1520,"usa",2
"26","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","practice","colder",1,"pizza","icecream","much more right",5104,"USA",2
"27","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","practice","sweeter",2,"strawberries","grapes","slightly more left",5356,"USA",-1
"28","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","feelings",3,"baby","bear","both equally",3765,"USA",0
"29","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","feelings",4,"car","computer","both equally",5826,"USA",0
"30","us_run_01","us_run_01_2","sequence4","us",35,"male","yes_only","white","college_some","none","other","Unemployed","This one was kinda fun.","test","feelings",5,"grownup","robot","much more left",1996,"USA",-2
